2019S,"BIA 600JP",W,0515PM,0800PM,JP,OFF,CLOSED,LEC
2019S,"BME 690A",W,0630PM,0900PM,,BC,221,LEC
2019S,"BME 700A",TBA,,,,,,SEM
2019S,"BME 701A",M,0615PM,0845PM,,X,510,LEC
2019S,"BME 702A",TBA,,,,OFF,TBA,LEC
2019S,"BME 800A",TBA,,,,N/A,N/A,LEC
2019S,"BME 800B",TBA,,,,N/A,N/A,LEC
2019S,"BME 800C",TBA,,,,N/A,N/A,LEC
2019S,"BME 800D",TBA,,,,N/A,N/A,LEC
2019S,"BME 801A",TBA,,,,N/A,N/A,LEC
2019S,"BME 801B",TBA,,,,N/A,N/A,LEC
2019S,"BME 801D",TBA,,,,N/A,N/A,LEC
2019S,"BME 810CA",TBA,,,,N/A,N/A,LEC
2019S,"BME 900A",TBA,,,,N/A,N/A,LEC
2019S,"BME 900B",TBA,,,,N/A,N/A,LEC
2019S,"BME 900C",TBA,,,,N/A,N/A,LEC
2019S,"BME 900D",TBA,,,,N/A,N/A,LEC
2019S,"BME 901A",TBA,,,,N/A,N/A,LEC
2019S,"BME 960A",TBA,,,,N/A,N/A,LEC
2019S,"BME 960B",TBA,,,,N/A,N/A,LEC
2019S,"BME 960C",TBA,,,,N/A,N/A,LEC
2019S,"BME 960D",TBA,,,,N/A,N/A,LEC
2019S,"BME 960E",TBA,,,,N/A,N/A,LEC
2019S,"BME 960F",TBA,,,,N/A,N/A,LEC
2019S,"BME 960G",TBA,,,,N/A,N/A,LEC
2019S,"BME 960H",TBA,,,,N/A,N/A,LEC
2019S,"BT  100A",TR,1230PM,0145PM,,BC,319,LEC
2019S,"BT  100B",TR,0200PM,0315PM,,X,105,LEC
2019S,"BT  100C",TR,0330PM,0445PM,,X,414,LEC
2019S,"BT  181A",R,0200PM,0250PM,,X,414,SEM
2019S,"BT  200A",M,0300PM,0415PM,,C,316,LEC
2019S,"BT  200A",W,0835AM,0950AM,,C,316,LEC
2019S,"BT  200B",M,0300PM,0415PM,,M,103,LEC
2019S,"BT  200B",W,0835AM,0950AM,,M,103,LEC
2019S,"BT  200C",M,0430PM,0545PM,,C,316,LEC
2019S,"BT  200C",W,0100PM,0215PM,,C,316,LEC
2019S,"BT  215A",M,0300PM,0415PM,,X,218B,LEC
2019S,"BT  215A",W,1100AM,1215PM,,X,218B,LEC
2019S,"BT  215B",M,0430PM,0545PM,,X,218A,LEC
2019S,"BT  215B",W,0100PM,0215PM,,X,218A,LEC
2019S,"BT  215C",W,0500PM,0615PM,,BC,219,LEC
2019S,"BT  215C",M,1100AM,1215PM,,BC,219,LEC
2019S,"BT  243A",TR,0800AM,0915AM,,BC,319,LEC
2019S,"BT  243B",TR,0930AM,1045AM,,X,106,LEC
2019S,"BT  243C",TR,1230PM,0145PM,,BC,320,LEC
2019S,"BT  243D",TR,0200PM,0315PM,,BC,319,LEC
2019S,"BT  243E",TR,1230PM,0145PM,,X,414,LEC
2019S,"BT  244A",M,0100PM,0215PM,,B,430,LEC
2019S,"BT  244A",W,0835AM,0950AM,,B,430,LEC
2019S,"BT  244B",M,0300PM,0415PM,,BC,219,LEC
2019S,"BT  244B",W,1100AM,1215PM,,BC,219,LEC
2019S,"BT  244C",M,0430PM,0545PM,,X,105,LEC
2019S,"BT  244C",W,0100PM,0215PM,,X,105,LEC
2019S,"BT  290CA",TBA,,,,N/A,N/A,LEC
2019S,"BT  301A",TR,0930AM,1045AM,,BC,319,LEC
2019S,"BT  301B",TR,0500PM,0615PM,,X,104,LEC
2019S,"BT  310A",M,0430PM,0545PM,,BC,104,LEC
