2019S,"BIA 600JP",W,0515PM,0800PM,JP,OFF,CLOSED,LEC
2019S,"CHE 560A",F,0300PM,0530PM,,X,105,LEC
2019S,"CHE 650A",R,0330PM,0600PM,,X,218A,LEC
2019S,"CHE 661A",M,0615PM,0845PM,,BC,212,LEC
2019S,"CHE 661WS",TBA,,,WS,OFF,WEB,LEC
2019S,"CHE 665A",M,0300PM,0530PM,,B,714,LEC
2019S,"CHE 671A",W,0630PM,0900PM,,X,120,LEC
2019S,"CHE 672A",M,0300PM,0530PM,,X,120,LEC
2019S,"CHE 700A",F,1100AM,1150AM,,E,230,SEM
2019S,"CHE 700B",F,1100AM,1250PM,,,,SEM
2019S,"CHE 707A",TBA,,,,OFF,TBA,LEC
2019S,"CHE 800A",TBA,,,,N/A,N/A,LEC
2019S,"CHE 801A",TBA,,,,N/A,N/A,LEC
2019S,"CHE 900A",TBA,,,,N/A,N/A,LEC
2019S,"CHE 960A",TBA,,,,N/A,N/A,LEC
2019S,"CLK 184A",R,0530PM,0620PM,,BC,203,LEC
2019S,"CM  501A",M,0615PM,0845PM,,BC,304,LEC
2019S,"CM  501W1",TBA,,,,OFF,WEB,LEC
2019S,"CM  501WS",TBA,,,WS,OFF,WEB,LEC
2019S,"CM  502A",M,0615PM,0845PM,,E,222,LEC
2019S,"CM  506WS",TBA,,,WS,OFF,WEB,LEC
2019S,"CM  510WS",TBA,,,WS,OFF,WEB,LEC
2019S,"CM  511A",T,0330PM,0600PM,,ABS,301,LEC
2019S,"CM  522A",R,0330PM,0600PM,,ABS,301,LEC
2019S,"CM  530A",M,0300PM,0530PM,,E,130,LEC
2019S,"CM  532A",T,0630PM,0900PM,,P,220,LEC
2019S,"CM  550A",W,0630PM,0900PM,,X,119,LEC
2019S,"CM  560A",W,0630PM,0900PM,,E,329,LEC
2019S,"CM  561A",T,0615PM,0845PM,,E,130,LEC
2019S,"CM  581A",F,0300PM,0530PM,,B,714,LEC
2019S,"CM  592A",T,0630PM,0900PM,,NB,102,LEC
2019S,"CM  605A",R,0630PM,0900PM,,C,316,LEC
2019S,"CM  605WS",TBA,,,,OFF,WEB,LEC
2019S,"CM  671A",T,0330PM,0600PM,,X,119,LEC
2019S,"CM  701A",TBA,,,,OFF,TBA,LEC
2019S,"CM  799A",S,0900AM,1130AM,,,,LEC
2019S,"CM  800A",TBA,,,,N/A,N/A,LEC
2019S,"CM  801A",TBA,,,,N/A,N/A,LEC
2019S,"CM  810C",M,0300PM,0530PM,,,,LEC
2019S,"CM  810D",T,0630PM,0900PM,,,,LEC
2019S,"CM  810WS",TBA,,,,OFF,WEB,LEC
2019S,"CM  900A",TBA,,,,N/A,N/A,LEC
2019S,"CM  900B",TBA,,,,N/A,N/A,LEC
2019S,"CM  960A",TBA,,,,N/A,N/A,LEC
2019S,"CPE 181A",F,1100AM,1150AM,,BC,204,SEM
2019S,"CPE 322A",M,1000AM,1150AM,,BC,122,L/L
2019S,"CPE 345A",R,1100AM,1150AM,,BC,104,LEC
2019S,"CPE 345A",W,1000AM,1140AM,,BC,122,LEC
2019S,"CPE 360A",TR,1100AM,1215PM,,P,120,LEC
2019S,"CPE 390A",TR,1230PM,0145PM,,E,222,LEC
2019S,"CPE 390LA",M,1100AM,0150PM,,B,123,LAB
2019S,"CPE 390LB",R,0800AM,1050AM,,B,123,LAB
2019S,"CPE 390LC",F,0200PM,0450PM,,B,123,LAB
2019S,"CPE 390LD",M,0200PM,0450PM,,B,123,LAB
2019S,"CPE 424A",TR,0230PM,0420PM,,E,222,L/L
2019S,"CPE 424X",TR,0230PM,0420PM,,N/A,N/A,L/L
2019S,"CPE 424X1",TR,0230PM,0420PM,,E,230,L/L
2019S,"CPE 424X2",TR,0230PM,0420PM,,X,104,L/L
2019S,"CPE 424X3",TR,0230PM,0420PM,,C,207,L/L
2019S,"CPE 440A",F,1200PM,0230PM,,B,430,LEC
2019S,"CPE 462A",R,0630PM,0900PM,,E,330,LEC
2019S,"CPE 486A",TBA,,,,N/A,N/A,LEC
2019S,"CPE 487A",TR,1230PM,0145PM,,B,517,LEC
2019S,"CPE 488A",T,0630PM,0900PM,,P,116,LEC
2019S,"CPE 490A",W,0630PM,0900PM,,E,230,LEC
2019S,"CPE 492A",TR,0930AM,1045AM,,K,228,LEC
2019S,"CPE 492B",TR,1100AM,1215PM,,K,228,LEC
2019S,"CPE 517A",M,0615PM,0845PM,,X,218B,LEC
2019S,"CPE 545A",R,0630PM,0900PM,,BC,310,LEC
2019S,"CPE 548A",M,1200PM,0230PM,,BC,304,LEC
2019S,"CPE 550A",F,0900AM,1130AM,,BC,319,LEC
2019S,"CPE 550W1",TBA,,,,OFF,WEB,LEC
2019S,"CPE 550WS",TBA,,,WS,OFF,WEB,LEC
2019S,"CPE 555A",R,0630PM,0900PM,,X,414,LEC
2019S,"CPE 556A",T,0330PM,0600PM,,B,430,LEC
2019S,"CPE 579A",T,0330PM,0600PM,,K,228,LEC
2019S,"CPE 585WS",TBA,,,WS,OFF,WEB,LEC
2019S,"CPE 590WS",TBA,,,WS,OFF,WEB,LEC
2019S,"CPE 592WS",TBA,,,WS,OFF,WEB,LEC
2019S,"CPE 593A",F,1200PM,0230PM,,X,106,LEC
2019S,"CPE 593B",F,0300PM,0530PM,,BC,319,LEC
2019S,"CPE 599A",TBA,,,,OFF,TBA,PRA
2019S,"CPE 600A",M,0300PM,0530PM,,NB,105,LEC
2019S,"CPE 600WS",TBA,,,WS,OFF,WEB,LEC
2019S,"CPE 602A",R,0330PM,0600PM,,B,514,LEC
2019S,"CPE 604WS",TBA,,,WS,OFF,WEB,LEC
2019S,"CPE 608A",R,1230PM,0300PM,,X,119,LEC
2019S,"CPE 625A",M,0615PM,0845PM,,BC,219,LEC
2019S,"CPE 625WS",TBA,,,WS,OFF,WEB,LEC
2019S,"CPE 631A",M,1200PM,0230PM,,E,229,LEC
2019S,"CPE 640A",TBA,,,,N/A,N/A,LEC
2019S,"CPE 640CA",TBA,,,,N/A,N/A,LEC
2019S,"CPE 646A",F,1200PM,0230PM,,BC,319,LEC
2019S,"CPE 654A",W,0630PM,0900PM,,E,111,LEC
2019S,"CPE 654WS",TBA,,,WS,OFF,WEB,LEC
2019S,"CPE 690WS",TBA,,,WS,OFF,WEB,LEC
2019S,"CPE 691WS",TBA,,,WS,OFF,WEB,LEC
2019S,"CPE 695A",W,0630PM,0900PM,,X,414,LEC
2019S,"CPE 695WS",TBA,,,WS,OFF,WEB,LEC
2019S,"CPE 701A",TBA,,,,OFF,TBA,PRA
2019S,"CPE 800A",TBA,,,,N/A,N/A,LEC
2019S,"CPE 800L",M,1200PM,0230PM,,N/A,N/A,LEC
2019S,"CPE 801A",TBA,,,,N/A,N/A,LEC
2019S,"CPE 900A",TBA,,,,N/A,N/A,LEC
2019S,"CPE 900B",TBA,,,,N/A,N/A,LEC
2019S,"CPE 900C",TBA,,,,N/A,N/A,LEC
2019S,"CPE 950A",TBA,,,,N/A,N/A,LEC
2019S,"CPE 960A",TBA,,,,N/A,N/A,LEC
2019S,"CPE 960B",TBA,,,,N/A,N/A,LEC
2019S,"CPE 960C",TBA,,,,N/A,N/A,LEC
2019S,"CPE 960D",TBA,,,,N/A,N/A,LEC
2019S,"CPE 960E",TBA,,,,N/A,N/A,LEC
2019S,"CPE 960F",TBA,,,,N/A,N/A,LEC
2019S,"CS  105A",TR,1100AM,1150AM,,P,116,LEC
2019S,"CS  105B",TR,1230PM,0120PM,,NB,105,LEC
2019S,"CS  105LA",F,1000AM,1150AM,,NB,102,LAB
2019S,"CS  105LB",F,1200PM,0150PM,,X,105,LAB
2019S,"CS  105LC",F,1000AM,1150AM,,E,130,LAB
2019S,"CS  105LD",F,1200PM,0150PM,,B,714,LAB
2019S,"CS  115A",MWF,1100AM,1150AM,,B,118,LEC
2019S,"CS  115B",MWF,1200PM,1250PM,,B,118,LEC
2019S,"CS  115LA",R,0800AM,0950AM,,E,229A,LAB
2019S,"CS  115LB",R,1000AM,1150AM,,BC,203,LAB
2019S,"CS  115LC",R,1230PM,0220PM,,BC,203,LAB
2019S,"CS  115LD",R,0230PM,0420PM,,BC,203,LAB
2019S,"CS  115LE",R,0700PM,0850PM,,BC,204,LAB
2019S,"CS  115LF",R,0700PM,0850PM,,NB,102,LAB
2019S,"CS  135A",MWF,0900AM,0950AM,,E,222,LEC
2019S,"CS  135B",MWF,1000AM,1050AM,,B,118,LEC
2019S,"CS  135LA",T,0800AM,0950AM,,BC,304,LAB
2019S,"CS  135LB",T,1000AM,1150AM,,BC,304,LAB
2019S,"CS  135LC",T,1230PM,0220PM,,E,130,LAB
2019S,"CS  135LD",T,0230PM,0420PM,,BC,203,LAB
2019S,"CS  135LE",T,1230PM,0220PM,,BC,203,LAB
2019S,"CS  135LF",T,0700PM,0850PM,,BC,204,LAB
2019S,"CS  135LG",T,0800AM,0950AM,,NB,101,LAB
2019S,"CS  135LH",T,1000AM,1150AM,,BC,203,LAB
2019S,"CS  135LI",T,1230PM,0220PM,,E,229,LAB
2019S,"CS  135LJ",T,0230PM,0420PM,,E,229,LAB
2019S,"CS  135LK",T,0700PM,0850PM,,E,229,LAB
2019S,"CS  135LL",T,0700PM,0850PM,,NB,101,LAB
2019S,"CS  188A",W,0200PM,0250PM,,BC,319,SEM
2019S,"CS  284A",MWF,1000AM,1050AM,,BC,104,LEC
2019S,"CS  284B",MWF,1100AM,1150AM,,BC,104,LEC
2019S,"CS  284C",MWF,1000AM,1050AM,,X,106,LEC
2019S,"CS  284D",MF,1100AM,1150AM,,E,222,LEC
2019S,"CS  284D",W,1100AM,1150AM,,K,228,LEC
2019S,"CS  284Q",TR,1230PM,0145PM,,X,218A,LEC
2019S,"CS  284QA",F,1200PM,1250PM,,X,218B,RCT
2019S,"CS  284QB",F,0100PM,0150PM,,X,104,RCT
2019S,"CS  284RA",F,1200PM,1250PM,,BC,320,RCT
2019S,"CS  284RB",F,0100PM,0150PM,,X,218A,RCT
2019S,"CS  284RC",F,0200PM,0250PM,,B,715,RCT
2019S,"CS  284RD",F,0300PM,0350PM,,M,103,RCT
2019S,"CS  284RE",F,0400PM,0450PM,,NB,102,RCT
2019S,"CS  284RF",F,1200PM,1250PM,,NB,102,RCT
2019S,"CS  284RG",F,0100PM,0150PM,,NB,102,RCT
2019S,"CS  284RH",F,0200PM,0250PM,,NB,102,RCT
2019S,"CS  347A",TR,0200PM,0315PM,,NB,105,LEC
2019S,"CS  347B",TR,0330PM,0445PM,,NB,105,LEC
2019S,"CS  347C",TR,0500PM,0615PM,,NB,105,LEC
2019S,"CS  370A",M,0615PM,0845PM,,NB,105,LEC
2019S,"CS  385A",MWF,0200PM,0250PM,,X,104,LEC
2019S,"CS  385RA",F,0300PM,0350PM,,NB,102,RCT
2019S,"CS  385RB",F,0400PM,0450PM,,NB,105,RCT
2019S,"CS  392A",MWF,1000AM,1050AM,,BC,203,LEC
2019S,"CS  392B",MWF,1100AM,1150AM,,K,360,LEC
2019S,"CS  424A",M,1100AM,0130PM,,C,315,LEC
2019S,"CS  424B",R,1100AM,0130PM,,NB,102,LEC
2019S,"CS  426A",F,0100PM,0330PM,,BC,640,LEC
2019S,"CS  488A",T,0630PM,0900PM,,P,116,LEC
2019S,"CS  492A",TR,0930AM,1045AM,,K,228,LEC
2019S,"CS  492AU",TBA,,,,N/A,N/A,LEC
2019S,"CS  492B",TR,1100AM,1215PM,,K,228,LEC
2019S,"CS  496A",MWF,0100PM,0150PM,,K,228,LEC
2019S,"CS  496B",MWF,0200PM,0250PM,,E,222,LEC
2019S,"CS  497A",TBA,,,,N/A,N/A,PRA
2019S,"CS  497B",TBA,,,,N/A,N/A,PRA
2019S,"CS  497C",TBA,,,,N/A,N/A,PRA
2019S,"CS  497D",TBA,,,,N/A,N/A,PRA
2019S,"CS  497E",TBA,,,,N/A,N/A,PRA
2019S,"CS  497F",TBA,,,,N/A,N/A,PRA
2019S,"CS  497G",TBA,,,,N/A,N/A,PRA
2019S,"CS  497H",TBA,,,,N/A,N/A,PRA
2019S,"CS  497I",TBA,,,,N/A,N/A,PRA
2019S,"CS  497J",TBA,,,,N/A,N/A,PRA
2019S,"CS  497K",TBA,,,,N/A,N/A,PRA
2019S,"CS  497L",TBA,,,,N/A,N/A,PRA
2019S,"CS  497M",TBA,,,,N/A,N/A,PRA
2019S,"CS  497N",TBA,,,,N/A,N/A,PRA
2019S,"CS  497O",TBA,,,,N/A,N/A,PRA
2019S,"CS  497P",TBA,,,,N/A,N/A,PRA
2019S,"CS  497Q",TBA,,,,N/A,N/A,PRA
2019S,"CS  497R",TBA,,,,N/A,N/A,PRA
2019S,"CS  497S",TBA,,,,N/A,N/A,PRA
2019S,"CS  497T",TBA,,,,N/A,N/A,PRA
2019S,"CS  497U",TBA,,,,N/A,N/A,PRA
2019S,"CS  497W",TBA,,,,N/A,N/A,PRA
2019S,"CS  497X",TBA,,,,N/A,N/A,PRA
2019S,"CS  497Y",TBA,,,,N/A,N/A,PRA
2019S,"CS  497Z",TBA,,,,N/A,N/A,PRA
2019S,"CS  499I",TBA,,,,N/A,N/A,PRA
2019S,"CS  499J",TBA,,,,N/A,N/A,PRA
2019S,"CS  499Q",TBA,,,,N/A,N/A,PRA
2019S,"CS  499W",TBA,,,,N/A,N/A,PRA
2019S,"CS  499X",TBA,,,,N/A,N/A,PRA
2019S,"CS  499Z",TBA,,,,N/A,N/A,PRA
2019S,"CS  501WS",TBA,,,WS,OFF,WEB,LEC
2019S,"CS  503A",W,0630PM,0900PM,,M,105,LEC
2019S,"CS  505A",F,1200PM,0230PM,,E,130,LEC
2019S,"CS  513A",W,0630PM,0900PM,,E,330,LEC
2019S,"CS  513B",R,0330PM,0600PM,,K,360,LEC
2019S,"CS  519A",M,0615PM,0845PM,,X,105,LEC
2019S,"CS  521A",R,0630PM,0900PM,,BC,319,LEC
2019S,"CS  522A",W,0630PM,0900PM,,M,205,LEC
2019S,"CS  522WS",TBA,,,WS,OFF,WEB,LEC
2019S,"CS  523W1",TBA,,,WS,OFF,WEB,LEC
2019S,"CS  523WS",TBA,,,WS,OFF,WEB,LEC
2019S,"CS  524A",T,0630PM,0900PM,,BC,122,LEC
2019S,"CS  524AU",TBA,,,,N/A,N/A,LEC
2019S,"CS  532A",R,0630PM,0900PM,,X,218A,LEC
2019S,"CS  544A",M,0300PM,0530PM,,,,LEC
2019S,"CS  545A",M,0900AM,1130AM,,E,330,LEC
2019S,"CS  546A",M,0615PM,0845PM,,B,118,LEC
2019S,"CS  546B",T,0630PM,0900PM,,NB,105,LEC
2019S,"CS  546WS",TBA,,,WS,OFF,WEB,LEC
2019S,"CS  548WS",TBA,,,WS,OFF,WEB,LEC
2019S,"CS  550A",F,0900AM,1130AM,,BC,319,LEC
2019S,"CS  550W1",TBA,,,WS,OFF,WEB,LEC
2019S,"CS  550WS",TBA,,,WS,OFF,WEB,LEC
2019S,"CS  553W1",TBA,,,,OFF,WEB,LEC
2019S,"CS  553WS",TBA,,,WS,OFF,WEB,LEC
2019S,"CS  554A",R,0630PM,0900PM,,B,118,LEC
2019S,"CS  554WS",TBA,,,WS,OFF,WEB,LEC
2019S,"CS  555A",T,0330PM,0600PM,,BC,122,LEC
2019S,"CS  555B",R,0630PM,0900PM,,BC,210,LEC
2019S,"CS  555WS",TBA,,,WS,OFF,WEB,LEC
2019S,"CS  558A",T,0630PM,0900PM,,X,218A,LEC
2019S,"CS  559A",W,0630PM,0900PM,,BC,122,LEC
2019S,"CS  560A",T,0630PM,0900PM,,BC,221,LEC
2019S,"CS  561A",M,0615PM,0845PM,,K,228,LEC
2019S,"CS  561WS",TBA,,,WS,OFF,WEB,LEC
2019S,"CS  562A",W,0630PM,0900PM,,K,360,LEC
2019S,"CS  570A",W,0630PM,0900PM,,NB,105,LEC
2019S,"CS  570LA",W,0900AM,1130AM,,E,130,LAB
2019S,"CS  570WS",TBA,,,WS,OFF,WEB,LEC
2019S,"CS  573A",M,0615PM,0845PM,,BC,122,LEC
2019S,"CS  574WS",TBA,,,WS,OFF,WEB,LEC
2019S,"CS  579A",T,0330PM,0600PM,,K,228,LEC
2019S,"CS  581WS",TBA,,,WS,OFF,WEB,LEC
2019S,"CS  583A",R,0630PM,0900PM,,P,116,LEC
2019S,"CS  590A",T,0630PM,0900PM,,P,216,LEC
2019S,"CS  590WS",TBA,,,WS,OFF,WEB,LEC
2019S,"CS  593A",R,0630PM,0900PM,,E,230,LEC
2019S,"CS  594WS",TBA,,,WS,OFF,WEB,LEC
2019S,"CS  595A",M,0615PM,0845PM,,BC,640,LEC
2019S,"CS  595CA",TBA,,,,N/A,N/A,LEC
2019S,"CS  600A",M,0300PM,0530PM,,NB,105,LEC
2019S,"CS  600WS",TBA,,,WS,OFF,WEB,LEC
2019S,"CS  601A",MWF,1200PM,1250PM,,BC,312,LEC
2019S,"CS  615A",M,0615PM,0845PM,,P,220,LEC
2019S,"CS  676A",M,0300PM,0530PM,,NB,102,LEC
2019S,"CS  677A",W,0630PM,0900PM,,NB,101,LEC
2019S,"CS  694A",T,0330PM,0600PM,,BC,212,LEC
2019S,"CS  703A",TBA,,,,OFF,TBA,PRA
2019S,"CS  800A",TBA,,,,N/A,N/A,PRA
2019S,"CS  800B",TBA,,,,N/A,N/A,PRA
2019S,"CS  800C",TBA,,,,N/A,N/A,PRA
2019S,"CS  800D",TBA,,,,N/A,N/A,PRA
2019S,"CS  800E",TBA,,,,N/A,N/A,PRA
2019S,"CS  800H",TBA,,,,N/A,N/A,PRA
2019S,"CS  800I",TBA,,,,N/A,N/A,PRA
2019S,"CS  800J",TBA,,,,N/A,N/A,PRA
2019S,"CS  800K",TBA,,,,N/A,N/A,PRA
2019S,"CS  800L",TBA,,,,N/A,N/A,PRA
2019S,"CS  800M",TBA,,,,N/A,N/A,PRA
2019S,"CS  800N",TBA,,,,N/A,N/A,PRA
2019S,"CS  800O",TBA,,,,N/A,N/A,PRA
2019S,"CS  800Q",TBA,,,,N/A,N/A,PRA
2019S,"CS  800S",TBA,,,,N/A,N/A,PRA
2019S,"CS  800U",TBA,,,,N/A,N/A,PRA
2019S,"CS  800W",TBA,,,,N/A,N/A,PRA
2019S,"CS  800X",TBA,,,,N/A,N/A,PRA
2019S,"CS  800Y",TBA,,,,N/A,N/A,PRA
2019S,"CS  800Z",TBA,,,,N/A,N/A,PRA
2019S,"CS  801A",TBA,,,,N/A,N/A,LEC
2019S,"CS  801B",TBA,,,,N/A,N/A,LEC
2019S,"CS  801C",TBA,,,,N/A,N/A,LEC
2019S,"CS  801D",TBA,,,,N/A,N/A,LEC
2019S,"CS  801E",TBA,,,,N/A,N/A,LEC
2019S,"CS  801H",TBA,,,,N/A,N/A,LEC
2019S,"CS  801I",TBA,,,,N/A,N/A,LEC
2019S,"CS  801J",TBA,,,,N/A,N/A,LEC
2019S,"CS  801K",TBA,,,,N/A,N/A,LEC
2019S,"CS  801L",TBA,,,,N/A,N/A,LEC
2019S,"CS  801N",TBA,,,,N/A,N/A,LEC
2019S,"CS  801O",TBA,,,,N/A,N/A,LEC
2019S,"CS  801Q",TBA,,,,N/A,N/A,LEC
2019S,"CS  801S",TBA,,,,N/A,N/A,LEC
2019S,"CS  801U",TBA,,,,N/A,N/A,LEC
2019S,"CS  801W",TBA,,,,N/A,N/A,LEC
2019S,"CS  801X",TBA,,,,N/A,N/A,LEC
2019S,"CS  801Y",TBA,,,,N/A,N/A,LEC
2019S,"CS  801Z",TBA,,,,N/A,N/A,LEC
2019S,"CS  810A",R,0630PM,0900PM,,NB,101,LEC
2019S,"CS  810B",T,1230PM,0300PM,,BC,212,LEC
2019S,"CS  960A",TBA,,,,N/A,N/A,LEC
2019S,"CS  960B",TBA,,,,N/A,N/A,LEC
2019S,"CS  960C",TBA,,,,N/A,N/A,LEC
2019S,"CS  960D",TBA,,,,N/A,N/A,LEC
2019S,"CS  960E",TBA,,,,N/A,N/A,LEC
2019S,"CS  960F",TBA,,,,N/A,N/A,LEC
2019S,"CS  960G",TBA,,,,N/A,N/A,LEC
2019S,"CS  960H",TBA,,,,N/A,N/A,LEC
2019S,"CS  960I",TBA,,,,N/A,N/A,LEC
2019S,"CS  960J",TBA,,,,N/A,N/A,LEC
2019S,"CS  960K",TBA,,,,N/A,N/A,LEC
2019S,"CS  960L",TBA,,,,N/A,N/A,LEC
2019S,"CS  960M",TBA,,,,N/A,N/A,LEC
2019S,"CS  960N",TBA,,,,N/A,N/A,LEC
2019S,"CS  960O",TBA,,,,N/A,N/A,LEC
2019S,"CS  960P",TBA,,,,N/A,N/A,LEC
2019S,"CS  960Q",TBA,,,,N/A,N/A,LEC
2019S,"CS  960R",TBA,,,,N/A,N/A,LEC
2019S,"CS  960S",TBA,,,,N/A,N/A,LEC
2019S,"CS  960U",TBA,,,,N/A,N/A,LEC
2019S,"CS  960W",TBA,,,,N/A,N/A,LEC
2019S,"CS  960X",TBA,,,,N/A,N/A,LEC
2019S,"CS  960Y",TBA,,,,N/A,N/A,LEC
2019S,"CS  960Z",TBA,,,,N/A,N/A,LEC
2019S,"D   110A",M,0500PM,0600PM,,,,QUZ
2019S,"D   110B",T,0500PM,0600PM,,,,QUZ
2019S,"D   110C",W,0500PM,0600PM,,,,QUZ
2019S,"D   110D",R,0500PM,0600PM,,,,QUZ
2019S,"D   110E",F,0500PM,0600PM,,,,QUZ
2019S,"D   110F",F,0800AM,0850AM,,,,QUZ
2019S,"D   401A",TBA,,,,OFF,TBA,PRA
2019S,"D   890A",TBA,,,,N/A,N/A,PRA
2019S,"D   999A",TBA,,,,N/A,N/A,PRA
2019S,"E   120A",F,0200PM,0350PM,,BC,320,LAB
2019S,"E   122A",R,0200PM,0450PM,,E,011,L/L
2019S,"E   122B",M,0200PM,0450PM,,E,011,L/L
2019S,"E   122C",R,0800AM,1050AM,,E,011,L/L
2019S,"E   122D",M,0615PM,0905PM,,E,011,L/L
2019S,"E   122E",T,0800AM,1050AM,,E,011,L/L
2019S,"E   122F",F,0200PM,0450PM,,E,011,L/L
2019S,"E   122G",T,0200PM,0450PM,,E,011,L/L
2019S,"E   122H",T,0630PM,0920PM,,E,011,L/L
2019S,"E   122I",T,0800AM,1050AM,,E,011,L/L
2019S,"E   122J",W,0630PM,0920PM,,E,011,L/L
2019S,"E   122K",R,0800AM,1050AM,,E,011,L/L
2019S,"E   122L",T,1100AM,0150PM,,E,011,L/L
2019S,"E   122M",R,1100AM,0150PM,,E,011,L/L
2019S,"E   122N",R,0200PM,0450PM,,E,011,L/L
2019S,"E   122O",W,1100AM,0150PM,,E,011,L/L
2019S,"E   122P",T,1100AM,0150PM,,E,011,L/L
2019S,"E   122Q",M,0200PM,0450PM,,E,011,L/L
2019S,"E   122R",W,1100AM,0150PM,,E,011,L/L
2019S,"E   122S",T,0200PM,0450PM,,E,011,L/L
2019S,"E   122T",R,1100AM,0150PM,,E,011,L/L
2019S,"E   122U",R,0630PM,0920PM,,E,011,L/L
2019S,"E   122V",F,0200PM,0450PM,,E,011,L/L
2019S,"E   122W",M,0615PM,0905PM,,E,011,L/L
2019S,"E   122X",T,0630PM,0920PM,,E,011,L/L
2019S,"E   122Y",W,0630PM,0920PM,,E,011,L/L
2019S,"E   122Z",R,0630PM,0920PM,,E,011,L/L
2019S,"E   126A",F,1100AM,1150AM,,X,106,LEC
2019S,"E   126A",TR,1100AM,1215PM,,X,106,LEC
2019S,"E   126B",TR,0200PM,0315PM,,B,430,LEC
2019S,"E   126B",F,0200PM,0250PM,,B,514,RCT
2019S,"E   126C",F,0300PM,0350PM,,M,205,LEC
2019S,"E   126C",TR,0330PM,0445PM,,M,205,LEC
2019S,"E   231A",M,0200PM,0450PM,,G,TBA,LAB
2019S,"E   231B",M,0615PM,0905PM,,G,TBA,LAB
2019S,"E   231C",F,1100AM,0150PM,,G,TBA,LAB
2019S,"E   232A",F,0200PM,0350PM,,BC,122,LEC
2019S,"E   232B",F,1200PM,0150PM,,BC,122,LEC
2019S,"E   232C",F,1000AM,1150AM,,BC,122,LEC
2019S,"E   232LA",M,0615PM,0905PM,,B,126,LAB
2019S,"E   232LB",T,1100AM,0150PM,,B,126,LAB
2019S,"E   232LC",T,0630PM,0920PM,,B,126,LAB
2019S,"E   232LD",W,0630PM,0920PM,,B,126,LAB
2019S,"E   232LE",R,0630PM,0920PM,,B,126,LAB
2019S,"E   232LF",W,1100AM,0150PM,,B,126,LAB
2019S,"E   232LG",F,0200PM,0450PM,,B,126,LAB
2019S,"E   232LH",T,0800AM,1050AM,,B,126,LAB
2019S,"E   232LI",F,0800AM,1050AM,,B,126,LAB
2019S,"E   232LJ",M,1100AM,0150PM,,B,126,LAB
2019S,"E   232LK",M,0200PM,0450PM,,B,126,LAB
2019S,"E   232LL",T,0200PM,0450PM,,B,126,LAB
2019S,"E   232LM",F,0615PM,0905PM,,B,126,LAB
2019S,"E   234A",MW,0900AM,0950AM,,K,228,LEC
2019S,"E   234RA",T,0930AM,1045AM,,BC,310,RCT
2019S,"E   234RB",T,1100AM,1150AM,,BC,310,RCT
2019S,"E   234RC",T,0200PM,0250PM,,BC,210,RCT
2019S,"E   234RD",T,0330PM,0420PM,,X,218A,RCT
2019S,"E   234RE",T,0500PM,0550PM,,E,329,RCT
2019S,"E   243A",TR,0930AM,1020AM,,E,222,LEC
2019S,"E   243B",TR,1100AM,1150AM,,E,222,LEC
2019S,"E   243RA",F,1000AM,1050AM,,E,229A,RCT
2019S,"E   243RB",F,1100AM,1150AM,,X,119,RCT
2019S,"E   243RC",F,1200PM,1250PM,,X,119,RCT
2019S,"E   243RD",F,0100PM,0150PM,,P,120,RCT
2019S,"E   243RE",F,0200PM,0250PM,,E,229A,RCT
2019S,"E   243W1",TBA,,,,OFF,WEB,LEC
2019S,"E   243WS",TBA,,,WS,OFF,WEB,LEC
2019S,"E   245A",MW,1200PM,1250PM,,BC,104,LEC
2019S,"E   245B",MW,0200PM,0250PM,,BC,104,LEC
2019S,"E   245LA",R,1100AM,0150PM,,B,126,LAB
2019S,"E   245LB",R,0200PM,0450PM,,B,126,LAB
2019S,"E   245LC",R,0800AM,1050AM,,B,126,LAB
2019S,"E   245LD",W,0800AM,1050AM,,B,126,LAB
2019S,"E   321A",M,0200PM,0350PM,,B,314,LAB
2019S,"E   321B",T,1000AM,1150AM,,B,314,LAB
2019S,"E   321C",T,0500PM,0650PM,,B,314,LAB
2019S,"E   321D",R,1230PM,0220PM,,B,314,LAB
2019S,"E   321E",F,1200PM,0150PM,,B,314,LAB
2019S,"E   321G",M,0615PM,0805PM,,B,314,LAB
2019S,"E   321H",W,0630PM,0920PM,,B,314,LAB
2019S,"E   321I",M,0400PM,0550PM,,B,314,LAB
2019S,"E   321J",R,0230PM,0420PM,,B,314,LAB
2019S,"E   321K",F,0200PM,0350PM,,B,314,LAB
2019S,"E   321L",R,0500PM,0650PM,,B,314,LAB
2019S,"E   321M",M,1000AM,1150AM,,B,314,LAB
2019S,"E   321N",T,1230PM,0220PM,,B,314,LAB
2019S,"E   344A",TR,0200PM,0315PM,,B,118,LEC
2019S,"E   344B",TR,0330PM,0445PM,,B,118,LEC
2019S,"E   355A",TR,1100AM,1215PM,,BC,122,LEC
2019S,"E   355B",TR,1230PM,0145PM,,BC,122,LEC
2019S,"E   355C",TR,0200PM,0315PM,,BC,122,LEC
2019S,"E   355LA",TBA,,,,OFF,WEB,LAB
2019S,"E   355LB",M,1000AM,1150AM,,BC,319,LAB
2019S,"E   355LC",TBA,,,,OFF,WEB,LAB
2019S,"E   355LD",M,1200PM,0150PM,,BC,319,LAB
2019S,"E   355LE",TBA,,,,OFF,WEB,LAB
2019S,"E   355LF",W,1200PM,0150PM,,BC,320,LAB
2019S,"E   356A",TR,1100AM,1215PM,,BC,122,LEC
